Name,Area,Efficiency
Version_1,121.87773,0.135016188
Version_2,5.978388,0.207184612
Version_3_Femtogrid,5.61564,0.147610958
Version_3_Autacro,9.82737,0.146479679
Version_3_APS,5.61564,0.147240564
